a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-2
accountsservice 0.6.55-2
acl 2.2.53-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
akonadi 20.04.3-1
akonadi-contacts 20.04.3-1
alsa-lib 1.2.3.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-2
ansible 2.9.11-1
ansible-aur-git 0.24.r0.g9f52f50-2
ant 1.10.8-1
aom 2.0.0-1
apache 2.4.43-1
appstream 0.12.11-1
appstream-qt 0.12.11-1
apr 1.7.0-3
apr-util 1.6.1-7
arb 2.18.1-1
archlinux-appstream-data 20200720-1
archlinux-keyring 20200622-1
argon2 20190702-3
aribb24 1.0.3-3
ark 20.04.3-1
arpack 3.7.0-2
asar 3.0.3-1
aspell 0.60.8-2
aspell-de 20161207-3
aspell-fr 0.50.3-9
aspell-pl 20200704-1
assimp 5.0.1-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attica 5.72.0-1
attica-qt4 0.4.2-4
attr 2.4.48-3
audit 2.8.5-6
augeas 1.12.0-2
autoconf 2.69-7
autoconf2.13 2.13-6
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
babl 0.1.78-1
baloo 5.72.0-1
baloo-widgets 20.04.3-1
bash 5.0.017-1
bbswitch 0.8-333
bc 1.07.1-4
bcg729 1.0.4-5
bind 9.16.5-2
binutils 2.34-5
bison 3.6.4-1
black-hole-solver 1.8.0-1
blas 3.9.0-3
bluedevil 1:5.19.3-1
bluez 5.54-2
bluez-libs 5.54-2
bluez-qt 5.72.0-1
bolt 0.9-1
bomber 20.04.3-1
boost-libs 1.72.0-2
bovo 20.04.3-1
breeze 5.19.3-1
breeze-gtk 5.19.3-1
breeze-icons 5.72.0-1
brial 1.2.8-1
bridge-utils 1.7-1
brltty 6.0-10
brotli 1.0.7-3
btrfs-progs 5.7-1
bubblewrap 0.4.1-1
bumblebee 3.2.1-21
burpsuite 1.7.21-1
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.54-1
ca-certificates-utils 20181109-3
cabextract 1.9.1-2
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
camlp4 4.09-1
cantarell-fonts 1:0.201-1
cblas 3.9.0-3
ccache 3.7.10-1
cddlib 1:0.94j-2
cdparanoia 10.2-8
celt 0.11.3-4
celt0.5.1 0.5.1.3-5
ceph-libs 14.2.8-1
chmlib 0.40-6
chromaprint 1.5.0-1
chromium 84.0.4147.89-1
cifs-utils 6.10-1
clang 10.0.0-3
cliquer 1.21-4
cln 1.3.6-2
cloc 1.86-1
cloog-git 0.18.4-3
clucene 2.3.3.4-11
cmake 3.18.0-2
cmark 0.29.0-2
cmark-gfm 0.29.0.gfm.0-2
code 1.47.2-2
colord 1.4.4+9+g1ce26da-2
compiler-rt 10.0.0-1
composer 1.10.9-1
confuse 3.3-1
containerd 1.3.4-2
convertlit 1.8-10
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.3-1
cups 2.3.3-2
cups-filters 1.27.5-1
cups-pdf 3.0.1-5
curl 7.71.1-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dcadec 0.2.0-1
dconf 0.36.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhcpcd 9.1.4-2
dialog 1:1.3_20200327-1
diffutils 3.7-3
discord 0.0.10-3
discount 2.2.6-2
discover 5.19.3-1
djvulibre 3.5.27-6
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-1
dnssec-anchors 20190629-2
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:19.03.12-2
dolphin 20.04.3-1
dosbox 0.74.3-2
dosfstools 4.1-3
double-conversion 3.1.5-2
drawio-desktop 12.6.5-1
drkonqi 5.19.3-1
e2fsprogs 1.45.6-2
ebook-tools 0.2.2-7
ebtables 2.0.10_4-8
ecl 20.4.24-2
eclib 20190909-9
editorconfig-core-c 0.12.3-2
efibootmgr 17-1
efivar 37-4
egl-wayland 1.1.5-1
eglexternalplatform 1.1-2
electron 9.1.1-1
electron2 2.0.18-4
electron4 4.2.12-6
electron6 6.1.9-7
electron7 7.1.14-7
electrum 4.0.2-1
elfutils 0.180-1
enchant 2.2.8-3
exfat-utils 1.3.0-2
exiv2 0.27.2-2
expat 2.2.9-3
expect 5.45.4-2
extra-cmake-modules 5.72.0-1
extundelete 0.2.4-5
faac 1.30-2
faad2 2.9.2-1
fakeroot 1.24-2
faudio 20.07-1
fflas-ffpack 2.4.3-3
ffmpeg 2:4.3.1-1
fftw 3.3.8-3
file 5.39-1
filelight 20.04.3-1
filesystem 2020.05.20-1
findutils 4.7.0-2
firefox 78.0.2-1
firefox-esr-bin 68.2.0-1
flac 1.3.3-2
flashplugin 32.0.0.403-1
flex 2.6.4-3
flint 2.6.0-1
flintqs 1:1.0-3
fluidsynth 2.1.4-1
fontconfig 2:2.13.91+48+gfcb0420-2
fontforge 20200314-2
fplll 5.3.3-1
frameworkintegration 5.72.0-1
freecell-solver 5.24.0-1
freeglut 3.2.1-2
freetype2 2.10.2-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
ftgl 2.4.0-2
fuse-common 3.9.2-1
fuse2 2.9.9-4
fuse3 3.9.2-1
gamin 0.1.10-9
gap 4.11.0-4
gap-doc 4.11.0-4
gavl 1.4.0-4
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-ada 10.1.0-2
gcc-libs 10.1.0-2
gcc54 5.4.1-1
gcc6 6.4.1-5
gcc6-libs 6.4.1-5
gcc7 7.4.1+20181207-3
gcc7-libs 7.4.1+20181207-3
gconf 3.2.6+11+g07808097-5
gcr 3.36-1
gd 2.3.0-1
gdb 9.2-1
gdb-common 9.2-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0+6+g5432316df-1
gdl 3.34.0-2
gegl 0.4.24-1
gegl02 0.2.0-8
geoclue 2.5.6-1
geocode-glib 3.26.2-1
geogebra 6.0.593.0-1
geoip 1.6.12-2
geoip-database 20200609-1
gettext 0.20.2-1
gf2x 1.3.0-1
gfan 0.6.2-2
ghc 8.10.1-2
ghc-libs 8.10.1-2
ghidra-git 9.0.4+453+geadf39e6-1
ghostscript 9.52-1
giflib 5.2.1-2
gimp 2.10.20-1
git 2.27.0-1
givaro 4.1.1-2
gksu 2.0.2-6
glew 2.2.0-2
glib-networking 2.64.3-2
glib2 2.64.4-1
glibc 2.31-5
glibmm 2.64.2-1
