acpid 2.0.32-2
alsa-utils 1.2.3-2
ansible 2.9.11-1
ansible-aur-git 0.24.r0.g9f52f50-2
ark 20.04.3-1
aspell-de 20161207-3
aspell-fr 0.50.3-9
aspell-pl 20200704-1
assimp 5.0.1-1
autoconf 2.69-7
autoconf2.13 2.13-6
automake 1.16.2-3
bash 5.0.017-1
bbswitch 0.8-333
bind 9.16.5-2
binutils 2.34-5
bison 3.6.4-1
bomber 20.04.3-1
bovo 20.04.3-1
bumblebee 3.2.1-21
burpsuite 1.7.21-1
bzip2 1.0.8-3
camlp4 4.09-1
ccache 3.7.10-1
chromium 84.0.4147.89-1
clang 10.0.0-3
cloc 1.86-1
cloog-git 0.18.4-3
cmake 3.18.0-2
code 1.47.2-2
composer 1.10.9-1
coreutils 8.32-1
cryptsetup 2.3.3-1
cups 2.3.3-2
cups-pdf 3.0.1-5
device-mapper 2.02.187-3
dhcpcd 9.1.4-2
dialog 1:1.3_20200327-1
diffutils 3.7-3
discord 0.0.10-3
dnsmasq 2.82-1
docker 1:19.03.12-2
dolphin 20.04.3-1
dosbox 0.74.3-2
drawio-desktop 12.6.5-1
e2fsprogs 1.45.6-2
ebtables 2.0.10_4-8
efibootmgr 17-1
electrum 4.0.2-1
exfat-utils 1.3.0-2
expect 5.45.4-2
extundelete 0.2.4-5
fakeroot 1.24-2
file 5.39-1
filelight 20.04.3-1
filesystem 2020.05.20-1
findutils 4.7.0-2
firefox 78.0.2-1
firefox-esr-bin 68.2.0-1
flashplugin 32.0.0.403-1
flex 2.6.4-3
frei0r-plugins 1.7.0-1
fuse2 2.9.9-4
gawk 5.1.0-1
gcc 10.1.0-2
gcc-libs 10.1.0-2
geogebra 6.0.593.0-1
gettext 0.20.2-1
ghidra-git 9.0.4+453+geadf39e6-1
gimp 2.10.20-1
git 2.27.0-1
gksu 2.0.2-6
glibc 2.31-5
gnome-keyring 1:3.36.0-1
gnome-themes-extra 3.28-2
go 2:1.14.6-1
gource 0.51-3
gparted 1.1.0-1
granatier 20.04.3-1
grep 3.4-1
grub 2:2.04-7
gst-libav 1.16.2-2
gst-plugins-good 1.16.2-3
gzip 1.10-3
heroku-toolbelt 3.43.9-1
imagemagick 7.0.10.24-1
imake 1.0.8-2
inetutils 1.9.4-8
inkscape 1.0-5
intel-ucode 20200616-1
iproute2 5.7.0-1
iputils 20190709-2
jdk10-openjdk 10.0.2.u13-2
jfsutils 1.1.15-7
jpegoptim 1.4.6-2
jq 1.6-3
kajongg 20.04.3-1
kapman 20.04.3-1
kate 20.04.3-1
katomic 20.04.3-1
kblackbox 20.04.3-1
kblocks 20.04.3-1
kbounce 20.04.3-1
kbreakout 20.04.3-1
kdenlive 20.04.3-1
kdialog 20.04.3-1
kdiamond 20.04.3-1
keeweb 1.15.5-1
keybase 5.5.1-1
kfourinline 20.04.3-1
kgoldrunner 20.04.3-1
kgpg 20.04.3-1
kigo 20.04.3-1
killbots 20.04.3-1
kiriki 20.04.3-1
kjumpingcube 20.04.3-1
klickety 20.04.3-1
klines 20.04.3-1
kmahjongg 20.04.3-1
kmines 20.04.3-1
knavalbattle 20.04.3-1
knetwalk 20.04.3-1
knights 20.04.3-1
kolf 20.04.3-1
kollision 20.04.3-1
konquest 20.04.3-1
konsole 20.04.3-1
kpatience 20.04.3-1
kreversi 20.04.3-1
krita 4.3.0-1
kronometer 2.2.3-2
kshisen 20.04.3-1
ksirk 20.04.3-1
ksnakeduel 20.04.3-1
kspaceduel 20.04.3-1
ksquares 20.04.3-1
ksudoku 20.04.3-1
ktorrent 5.2.0-1
ktuberling 20.04.3-1
kubrick 20.04.3-1
lcov 1.13-2
less 551-3
lib32-giflib 5.2.1-1
lib32-gnutls 3.6.14-1
lib32-gst-plugins-base-libs 1.16.2-1
lib32-gtk3 3.24.21-1
lib32-libldap 2.4.50-1
lib32-libpulse 13.0-1
lib32-libva 2.8.0-1
lib32-libxcomposite 0.4.5-1
lib32-libxinerama 1.1.4-1
lib32-libxmu 1.1.3-1
